name,Company,Address,Link,Content,Update
Linux Systems Engineer,美商網基股份有限公司台灣分公司,台北市內湖區內湖路一段300號6樓之3,http://www.104.com.tw/job/?jobno=5uiho&jobsource=hotjob_chr,"ROLE/RESPONSIBILITY • Monitor and address Software-as-a-Service (SaaS) web application issues• Remote management of distributed servers in cloud computing environment• Collaborate with operations/engineering groups to implement failover, redundancy, and scalability• Help oversee and automate cloud infrastructure, systems scalability, and systems/network security• Willing to share routine operations tasks and on-call duties• Make constant and proactive improvements to existing processes • Work with Customer Support to help debug customer issues EXPERIENCE • 2+ years of Linux system administrator (sysadmin) experience or Linux webapp operations experience REQUIRED SKILLS • Good written and verbal English skills • Excellent troubleshooting skills • Expert with Linux (CentOS) and command-line tools • Familiar with both of the following scripting languages: Bash, Python • Incredible attention to detail. Plan ahead before making changes• Enjoy hacking/learning new technologies PROJECTS• We know Big Data. We process over 40+ languages and 120 billion documents, and index 300 million documents per day in real time.• Using Apache Spark for calculating our data's duplication factors to help platform developers focus on specific source data types.• Migrating raw data storage from large RAIDs to distributed Hadoop clusters for better fault tolerance, better throughput, and easier maintenance.• Using Docker containers to run Jenkins builds on existing servers whilst idle to elimate dedicated build slaves, reduce costs and greatly improve throughput.• Operations dashboards and reports in Splunk and Graphite for capacity planning and debugging production issues.• Use tools like Qualys and Snort for intrusion detection and security vulnerability management.• Setup and maintain tools like Sonatype IQ Server to do source code scanning and 3rd party component security audits.• Write Python monitoring scripts for tracing complex pipelines to detect data latency issues and other problems before customers are affected.• Broaden your horizons, by getting to learn and use tools and technologies that we actively use: Lucene, Cassandra, Zookeeper, Kestrel, MySQL, MongoDB, InfluxDB, Nginx, Nagios, Ganglia, Graphite, Grafana, Prometheus, Graylog, Sentry, CentOS, Python, Java, Jira, Ansible, Puppet, Docker, Git, Nexus, Maven, Jenkins, and many more!",2018-06-07
"Resilient Systems, an IBM company – Backend Java Developer (職缺代碼:  148963BR)",IBM_台灣國際商業機器股份有限公司,台北市南港區三重路19-11號E棟9F,http://www.104.com.tw/job/?jobno=667im&jobsource=hotjob_chr,"Resilient Systems' mission is to help organizations thrive in the face of any cyber-attack or business crisis. Our award-winning Incident Response Platform (IRP) empowers security teams to analyze, respond to and mitigate incidents faster, smarter and more efficiently. Resilient is fast becoming the industry standard solution for incident response. The Resilient platform integrates all other security technologies into a single hub and provides easy workflow customization and process automation. Armed with Resilient, security teams can have best-in-class response capabilities. We are growing rapidly and are looking for a highly motivated, dynamic, talented individual to join our software development group focusing on backend Java or full-stack web application development. Job Responsibilities:- This position will involve writing software in Java to enhance and evolve our product offerings.- Areas of innovation include cyber threat collection/correlation, and cross-organizational collaboration and information sharing.",2018-05-15
網路管理工程師(IT),程曦資訊整合股份有限公司,台北市松山區光復南路1號10樓,http://www.104.com.tw/job/?jobno=5r15n&jobsource=hotjob_chr,"1.伺服器及桌面虛擬化導入、維護與分析(VMWare Solution, Hyper V)2.資訊中心雲端設備之安裝、建置、維護、分析、保固、監控等工作事宜3.IDC與HQ 網路架構改建與維運4.各類防火牆與交換器導入與維運(F5 WAF,Cisco ASA NGFW, Others UTM)5.各式硬體伺服器集中化管理(IBM HP Dell Blade ,Rack Server)6.存儲設備管控(EMC、SAN Storage DataDomain ,Synology、QNap NAS)7.網站伺服器管理維護與監控(Windows IIS, Linux Apache)8.其他內部相關資訊專案 -如具有AWS、Azure的經驗加分",2018-06-05
網管工程師,天義企業股份有限公司,台北市大安區復興南路一段129號5樓,http://www.104.com.tw/job/?jobno=4oqsu&jobsource=hotjob_chr,工作內容：1.Windows AD與Domino Notes郵件系統管理。2.建置、管理與維護企業各公司網路連線與網路設備。3.執行企業資訊安全政策與資料備份。4.使用者軟硬體故障問題排除與技術支援。5.協助Notes 系統測試上線與執行訓練課程。6.協助執行資訊資源需求與編制年度採購預算。7.其他主管交辦事項。,2018-06-04
程式設計工程師(台北),春源鋼鐵工業股份有限公司,台北市中山區復興北路502號7樓(104),http://www.104.com.tw/job/?jobno=3iv2x&jobsource=hotjob_chr,1.ERP系統程式設計及維護2.表單簽核系統程式設計及維護,2018-05-30
後端軟體工程師,傳奇亞太科技有限公司,台北市內湖區洲子街181號8樓,http://www.104.com.tw/job/?jobno=562l0&jobsource=hotjob_chr,"**應徵時請附上Cover Letter(自薦信)**<職務說明>1.遊戲網站系統開發維護2.後端管理系統開發維護3.資料庫管理整合4.系統分析與設計<所需條件>•Java/Python/php/Node.js/ASP.NET/C#.NET(其中一種程式語言)•了解資料庫相關技術，如，SQL, NoSQL, MySQL, Redis•使用過雲端服務平台，如，Amazon AWS, Google GCP•熟悉版本控制 (如: SVN , Git)。 Web based 的系統開發, Oracle DB前端html, css, javascript, jquery, spring, servlets",2018-06-07
【福利佳】H5遊戲開發工程師,博發科技有限公司,台北市內湖區,http://www.104.com.tw/job/?jobno=5xtys&jobsource=hotjob_chr,"1.負責HTML5遊戲開發 2.能配合專案時程與項目需求，完成各項任務 3.對遊戲有興趣，勇於挑戰，高度自我要求與責任感 4.能配合團隊溝通與開發，能在職務內獨立作業  博發科技(Gamefortune)，具備良好的發展潛力和完善的組織制度，倚重台灣領先全球的研發技術專長，持續網羅優秀的資訊研發人才，期許成為頂尖IT服務供應商，協助客戶解決高端系統服務需求，並和客戶建構緊密的夥伴關係。 我們是熱情的科技研發團隊，分享我們對資訊研發的熱愛及專業，也幫助自己成就一份事業，歡迎積極主動的您加入我們的團隊。------------------------------------------------------------- HR抱著既期待又怕受傷害的心情 期待著前來面試的你們,如有臨時更改(取消)面試時間 麻煩撥打電話告知喔!!!(HR每天行程滿滿滿,怕會漏掉104信件) ------------------------------------------------------------------  好到驚豔的公司福利: ★彈性上下班制度，讓還想睡的你可以在家再爽一下。★優於勞基法特休天數+不扣薪病假3天，讓你工作休息平衡。★每月部門聚餐+慶生會，讓你徜徉在愉悅歡樂的工作環境中。★年度尾牙，讓老闆來犒賞你一年來的辛勞。★免費飲品/零食盡情享用，不怕你吃，只怕你忘記去運動。★無限供應咖啡，讓你精神滿滿滿，充滿戰鬥力。★中秋端午禮金+年終獎金，讓你累積第一桶金。★各項補助，讓你衝刺無後顧之憂。★每季免費電影票，讓你自選想見面的影星。★員工旅遊，讓你適時放鬆，寵愛自己一下。 ★級數爆表的辦公環境(新的辦公室裝潢、冰箱、高級飲水機、微波爐、烤箱....)",2018-06-04
Linux網管工程師-301（線上教學與人力資源 國際事業部）,吳氏日文企業管理顧問股份有限公司,台北市大同區承德路一段32號3F之3,http://www.104.com.tw/job/?jobno=3b66t&jobsource=hotjob_chr,"無須全部具備或全部熟練，請自估熟練度 %。技能多寡與熟練度，將直接反映在起薪。01.Linux：02.Apache：03.MySQL：04.基本網路故障排除：05.基本PC組裝及故障排除：06.PHP：07.Cisco L3 Switch：08.ShareTech UTM Firewal/Router：  加給能力（如有請註明，技能越多，加給越多。）01.HTML/XML（請自估熟練%）：02.CSS：請註明熟練度%。03.jquery：請註明熟練度%。04.Bootstrap：請註明熟練度%。05.Photoshop（請自估熟練%）：06.InDesign：請註明熟練度%。07.有書籍刊物編輯經驗：請註明熟練度%。08.Linux NFS HA, Linux Heartbeat, DRBD, HaProxy, ReverseProxy 安裝維護。09.UPS 不斷電系統備援機制安裝維護。",2018-06-08
Technical Support / Product Assistant 技術產品助理,"GRANDA SERVICES CO., LTD.",台北市松山區敦化北路170號3樓,http://www.104.com.tw/job/?jobno=63okj&jobsource=hotjob_chr,"Overview:Candidates are expected to be proactive, independent, and self-motivated. Successful candidates will communicate with customers who have integrated our services. English fluency is essential for both internal and external communications. 簡述：面試者需具備主動、獨立且積極的特質。成功錄取者將需要協助我們的客戶進行遊戲產品以及後台服務的技術對接事項。英文流利對於內部及外部溝通皆是基本要求。 Main Responsibilities:- Attend to customers' technical enquiries via Emails, Skype, and Ticketing Systems.- Coordinate with customers, suppliers, and internal teams regarding any technical requests or issues.- Troubleshoot system issues from the root level. Suggest potential impacts and possible root causes to the relevant teams for escalation.- Define objectives, priorities, and deadlines during live assessment.- Ensure timely a behaviour and evaluate their technical performance. Create analysis reports to suggest changes to the development team.- Understand our product and intervene in live issues. - Continuously plan and carr nd correct answers for every request.- Observe customer y out actions to prevent issue recurrence.- Design and maintain internal tools to support our core products.- Perform system health monitoring with tools provided.- Maintain product related guides, API integration materials and other documentation. 主要職責：◎ 透過電子郵件、Skype與問題回報系統，處理客戶的技術性問題。◎ 協調於客戶、供應商與內部團隊之間，追蹤技術性問題與要求的發展。◎ 基本層度的系統問題排解，並設法提出潛在影響與根本原因給相關團隊。◎ 對每一個新的問題或要求進行分析，制定處理目標、優先權與期限。◎ 確保提供即時且高素質的回覆。◎ 關注客戶與我方系統的對接動態，建立分析與評估報表，提出改善機制給開發團為參考。◎ 充分了解我們的產品，並在緊急時刻提供協助。◎ 記錄問題的發生，提供改進計畫，並採取行動以防止相同問題的發生。◎設計並維護內部工具來促使主要產品可以更加順利推廣。◎ 持續監控系統的健康狀況。◎ 維護與產品相關的文件；教學手冊與API銜接相關資料。salary: 50k and above",2018-05-30
資料工程師,聖嘉資訊科技股份有限公司,台北市大安區樂利路89號六樓,http://www.104.com.tw/job/?jobno=3226n&jobsource=n104bank1,1.負責資料分析、模型設計以及系統導入建置。 2.規劃執行軟體架構及模組之設計。3.進行專案開發環境之測試與修改。4.協助測試軟體新技術與新工具。5.分析使用者需要，以發展硬體和軟體架構。6.依據使用者需求，參與資料架構的設計，建立資料分析架構。7.管理各項資料庫資源使用，包含使用數量、權限管理、使用空間、系統資源（CPU、Memory、IO）等。,2018-05-24
